"URL","from","to","weight","betweenness.edges"
"https://www.altmetric.com/details/12125570","@pkedrosky","@braddolman",1,1
"https://www.altmetric.com/details/12125570","@theNASciences","@sallyhs",1,1
"https://www.altmetric.com/details/12125570","@afneil","@BabushkaThe",1,1
"https://www.altmetric.com/details/12125570","@AndrewBeatty","@barbaraedwards1",1,1
"https://www.altmetric.com/details/12125570","@menjivar_ceci","@mhbohme",1,1
"https://www.altmetric.com/details/12125570","@JynErso_2017","@mf_buckley",1,2
"https://www.altmetric.com/details/12125570","@Noahpinion","@50smag",1,2
"https://www.altmetric.com/details/12125570","@vixy","@puck1008",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@biy2c",1,1
"https://www.altmetric.com/details/12125570","@AndrewBeatty","@Rkrahenbuhl",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@q_LaShonda",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@sandboxvet1",1,1
"https://www.altmetric.com/details/12125570","@vixy","@ConductMz",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@candice90265",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@John94951097",1,1
"https://www.altmetric.com/details/12125570","@theNASciences","@Brbmurphy",1,1
"https://www.altmetric.com/details/12125570","@JynErso_2017","@lillyslolly",1,2
"https://www.altmetric.com/details/12125570","@JynErso_2017","@LindaBuckta",1,2
"https://www.altmetric.com/details/12125570","@SominiSengupta","@urbanwonk_mom",1,2
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@KeithleyChris",1,1
"https://www.altmetric.com/details/12125570","@WestWingReport","@Dalekchild",1,1
"https://www.altmetric.com/details/12125570","@pkedrosky","@TGrantBelgard",1,1
"https://www.altmetric.com/details/12125570","@PaulGambles2","@CapitalJon",1,1
"https://www.altmetric.com/details/12125570","@JynErso_2017","@MyKidsMomBB8",1,2
"https://www.altmetric.com/details/12125570","@Noahpinion","@lisecoleandrews",1,2
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@DavidWeingust",1,1
"https://www.altmetric.com/details/12125570","@pkedrosky","@djensen47",1,1
"https://www.altmetric.com/details/12125570","@pkedrosky","@OakvilleMayor",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@realJaymeWyatt",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@javelinsst1972",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@KlasicalLiberal",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@rains6944",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@nedryun",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@foggyanabasis",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@Lyn1350",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@drdej",1,1
"https://www.altmetric.com/details/12125570","@JynErso_2017","@Elee912",1,2
"https://www.altmetric.com/details/12125570","@travton","@WWICSReviews",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@azjennytobin",1,1
"https://www.altmetric.com/details/12125570","@SominiSengupta","@susannahsirkin",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@JerryCunningha6",1,1
"https://www.altmetric.com/details/12125570","@Noahpinion","@dennis_esney",1,2
"https://www.altmetric.com/details/12125570","@pkedrosky","@ODouglasPrice",1,1
"https://www.altmetric.com/details/12125570","@Noahpinion","@luisespinal",1,2
"https://www.altmetric.com/details/12125570","@edmorrison","@BrianDRPM",1,1
"https://www.altmetric.com/details/12125570","@pkedrosky","@gnomeuser",1,1
